Time (s),S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-18,S-19
1,42.32802,51.01477,49.88225,54.27239,50.23814,49.37376,48.4701,45.55403,48.58533,50.17313,49.31368,44.05172,50.45868
2,42.34441,51.15847,50.42326,54.25063,50.25671,49.54287,48.48074,45.71263,48.89832,50.24051,50.15018,44.0713,50.63448
3,42.33724,51.22665,50.42919,54.13459,50.28514,49.68832,48.56245,45.79324,48.97114,50.24246,50.41877,44.07416,50.63785
4,42.33491,51.34504,50.55412,54.14471,50.32282,49.87435,48.60073,45.8213,49.01722,50.24935,50.51181,44.07797,50.81692
5,42.33474,51.4213,50.58499,54.17201,50.3489,49.98034,48.72794,46.12088,49.11362,50.2865,50.63095,44.0839,50.82046
6,42.33793,51.53373,50.66272,54.19019,50.37756,50.0249,48.39634,46.23483,49.10972,50.30528,50.62716,44.07458,50.85727
7,42.34238,51.62572,50.71748,54.20762,50.4445,50.08254,47.94334,46.35431,49.20626,50.38248,50.66413,44.06964,50.96751
8,42.343,51.63323,50.70427,54.22424,50.47473,50.13868,47.87649,46.36167,49.23473,50.32235,50.71987,44.09717,50.78304
9,42.33947,51.73125,50.78107,54.2304,50.49712,50.24285,47.8754,46.38321,49.25362,50.42291,50.73579,44.1156,50.7183
10,42.35946,51.74344,50.84505,54.28761,50.54974,50.43431,47.92855,46.42458,49.29051,50.429,50.8871,44.13378,51.04203
11,,,,54.29551,50.549,50.21864,47.95731,46.43459,49.33073,50.41799,50.98673,44.13979,51.18667
12,,,,54.37573,50.56876,50.34484,48.0238,46.46657,49.27448,50.43848,50.99972,44.15989,51.1875
13,,,,54.37271,50.59231,50.34703,48.14217,46.50172,49.31756,50.47266,51.13388,44.1571,51.20409
14,,,,54.43576,50.61396,50.36804,48.21896,46.56356,49.34654,50.44419,51.16167,44.18293,51.20942
15,,,,54.50746,50.6239,50.32481,48.2319,46.56305,49.32788,50.44114,51.15772,44.20478,51.23977
16,,,,54.52378,50.63679,50.31619,48.2473,46.5906,49.27502,50.40171,51.18647,44.22759,51.21148
17,,,,54.54824,50.65316,50.3833,48.2858,46.58079,49.3219,50.48829,51.18647,44.25593,51.22787
18,,,,54.57463,50.67032,50.41069,48.30068,46.53737,49.31572,50.44977,51.20476,44.30231,51.21175
19,,,,54.63662,50.68075,50.42556,48.32221,46.54402,49.29684,50.46262,51.20887,44.31251,51.13424
20,,,,54.63262,50.7023,50.40308,48.35505,46.64293,49.3054,50.47524,51.2129,44.29813,50.18822
21,,,,54.64282,50.71218,50.45438,48.37902,46.65467,49.31533,50.39933,51.21598,44.27154,50.40804
22,,,,54.64997,50.71885,50.48043,48.40322,46.67719,49.30125,50.46735,51.20579,44.33075,50.4793
23,,,,54.66141,50.74042,50.54431,48.41847,46.73272,49.42083,50.59967,51.20784,44.30447,50.78865
24,,,,54.70104,50.75298,50.54708,48.43266,46.79103,49.41526,50.58914,51.21906,44.33869,51.04755
25,,,,54.70733,50.76907,50.56355,48.45333,46.81231,49.42867,50.5411,51.34496,44.355,51.13751
26,,,,54.74377,50.79124,50.57126,48.47752,46.84618,49.35072,50.59149,51.36381,44.40599,51.19172
27,,,,54.74844,50.7932,50.61964,48.51893,46.82691,49.32888,50.55847,51.4056,44.42234,51.189
28,,,,54.80037,50.81032,50.68537,48.5391,46.82703,49.31299,50.56938,51.45722,44.4123,51.19848
29,,,,54.82047,50.83008,50.74325,48.5774,46.83359,49.326,50.61329,51.50539,44.45046,51.19801
30,,,,54.83745,50.8447,50.12842,48.5999,46.78808,49.29577,50.4997,51.54163,44.46821,51.18667
