family,start,end,duration,acc_mean,acc_std,f1_mean,f1_std,auc_mean,auc_std
Prefix (0→N),0,5,5,0.7308,0.3172,0.6923,0.4022,0.9231,0.2665
Prefix (0→N),0,10,10,0.7308,0.3172,0.641,0.4426,0.8462,0.3608
Prefix (0→N),0,15,15,0.6154,0.2878,0.6154,0.3662,0.7692,0.4213
Prefix (0→N),0,20,20,0.5769,0.3846,0.5385,0.4441,0.6923,0.4615
Prefix (0→N),0,25,25,0.5769,0.3309,0.5641,0.4005,0.4615,0.4985
Prefix (0→N),0,30,30,0.5385,0.2371,0.4103,0.3956,0.7692,0.4213
Post-5s (5→N),5,10,5,0.7308,0.2493,0.6154,0.4306,0.8462,0.3608
Post-5s (5→N),5,15,10,0.5769,0.1804,0.4103,0.3956,0.6154,0.4865
Post-5s (5→N),5,20,15,0.5,0.1961,0.3846,0.3662,0.3077,0.4615
Post-5s (5→N),5,25,20,0.3462,0.2308,0.2051,0.3077,0.3077,0.4615
Post-5s (5→N),5,30,25,0.2308,0.3172,0.1282,0.3077,0.1538,0.3608
Post-10s (10→N),10,15,5,0.2692,0.2493,0.2051,0.3077,0.1154,0.2107
Post-10s (10→N),10,20,10,0.5,0.1961,0.3846,0.3662,0.5,0.4804
Post-10s (10→N),10,25,15,0.1923,0.2433,0.1026,0.2405,0.0769,0.2665
Post-10s (10→N),10,30,20,0.3462,0.3028,0.1795,0.3363,0.1923,0.3689
